CRS_ID,DEP_ID,CRS_NUM,CRS_CODE,CRS_NAME,CRS_DESC,CRS_GEAF,CRS_GEGH,CRS_DCOREL,CRS_UNITSTR,CRS_UNITS,CRS_PREREQ,CRS_COREQ,CRS_CROSS,CRS_NOTE,CRS_STARTTERM,CRS_ENDTERM
ALI-224,ALI,224,ALI 224,Academic and Professional Speaking Skills I,Required for international students whose oral skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-225,ALI,225,ALI 225,Academic and Professional Writing Skills I,Required for international students whose writing skills are assessed to be at the low intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-234,ALI,234,ALI 234,Academic and Professional Speaking Skills II,Required for international students whose oral skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-235,ALI,235,ALI 235,Academic and Professional Writing Skills II,Required for international students whose writing skills are assessed to be at the intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-242,ALI,242,ALI 242,High Intermediate Pronunciation,Required for international students whose pronunciation skills are assessed at the high intermediate level by the International Student English Examination (ISE) or previous ALI course. Graded CR/NC.,,,False,,2,,,,{},,
ALI-244,ALI,244,ALI 244,Academic and Professional Speaking Skills III,Required for international students whose oral skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-245,ALI,245,ALI 245,Academic and Professional Writing III,Required for international students whose writing skills are assessed to be at the high intermediate level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-246,ALI,246,ALI 246,Intermediate Oral Communication for ITAs,Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.,,,False,,3,,,,{},,
ALI-252,ALI,252,ALI 252,Advanced Pronunciation,Required for international students whose pronunciation skills are assessed at the advanced level by the International Student English Examination (ISE) or previous ALI course.,,,False,,2,,,,{},,
ALI-254,ALI,254,ALI 254,Academic and Professional Speaking Skills IV,Required for international students whose oral skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-255,ALI,255,ALI 255,Academic and Professional Writing Skills IV,Required for international students whose writing skills are assessed to be at the advanced level by the International Student English Examination (ISE) or previous ALI course.,,,False,"2.0 units, max 6",,,,,{},,
ALI-256,ALI,256,ALI 256,High Intermediate Oral Communication for ITAs,Required for international teaching assistants (ITAs) whose oral skills are assessed to be at the high intermediate level by the ITA Exam or previous ALI course. Graded CR/NC.,,,False,,3,,,,{},,
ALI-270,ALI,270,ALI 270,Advanced Oral Communication for ITAs,"Classroom interaction skills for International Teaching Assistants, with a focus on the language needed to lead discussions and make presentations. Open to International Teaching Assistants only. Graded CR/NC.",,,False,,3,,,,{},,
ALI-271,ALI,271,ALI 271,Language Tutorial for International Teaching Assistants,Individualized tutorial on the language and oral skills used by International Teaching Assistants in the performance of his or her duties. Based on observation and feedback. Open to International Teaching Assistants only. Graded CR/NC.,,,False,,2,,,,{},,
ALI-274,ALI,274,ALI 274,Advanced Academic and Professional Spoken English,"Required for International Teaching Assistants (ITAs) who, after taking the ITA Oral Interview Exam, are determined to need the particular skills taught in this course.",,,False,,2,,,,{},,
ALI-275,ALI,275,ALI 275,Writing for Publication and Dissertations,"Elective course for international graduate students focusing on conventions of advanced academic writing and problems in syntax, vocabulary, and register for writing and/or publishing dissertations. Graded CR/NC.",,,False,,2,,,,{},,
AMST-101,AMST,101,AMST 101mgw,Race and Class in Los Angeles,"Analysis of race and the economic, political, gender, and social dimensions of contemporary Los Angeles including topics such as residential segregation, economic inequality, and city politics.",C,G,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-135,AMST,135,AMST 135mgw,Peoples and Cultures of the Americas,"An introduction to cultures and people in the Americas; the social, historical, economic and cultural formations that together make up the Latino/a American imaginary.",C,G,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-150,AMST,150,AMST 150gw,The American War in Viet Nam,Examination of the ways that different nations and cultures have remembered the Vietnam War or the American War as it is called in Vietnam. (Duplicates credit in former AMST 377),B,G,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-200,AMST,200,AMST 200mg,Introduction to American Studies and Ethnicity,"Introduction to American studies and ethnic studies. Provides an overview of major theories, concepts, and issues.",C,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-201,AMST,201,AMST 201g,LGBTQ America,Examines how U.S. sexual identity and experience are represented in the 20th and 21st century and introduces the interdisciplinary field of LGBTQ Studies.,B,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""]}",,
AMST-205,AMST,205,AMST 205g,Introduction to American Popular Culture,"Examines the relation between U.S. national culture, race, and popular culture.",B,,True,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
AMST-206,AMST,206,AMST 206mg,The Politics and Culture of the 1960s,Examines political and cultural change in the United States during the decade of the 1960s.,B,,False,,4,,,,"{'generaleducation': [""General Education:This course satisfies the university's general education requirement.""], 'multicultural': [""Diversity:This course satisfies the university's diversity requirement.""], 'alert': ['Note:Register for lecture and one discussion']}",,
