SCT_ID,SCH_ID,SCH_DAY,SCH_STTIME,SCH_ENTIME
10103R,1,TUE,14:00,15:20
10103R,2,THU,14:00,15:20
10106R,3,TUE,15:30,16:50
10106R,4,THU,15:30,16:50
10112R,5,TUE,12:00,13:20
10112R,6,THU,12:00,13:20
10113R,7,MON,14:00,15:20
10113R,8,WED,14:00,15:20
10115R,9,TUE,14:00,15:20
10115R,10,THU,14:00,15:20
10123R,11,TUE,9:30,10:50
10123R,12,THU,9:30,10:50
10124R,13,MON,10:00,11:20
10124R,14,WED,10:00,11:20
10127R,15,TUE,12:00,13:20
10127R,16,THU,12:00,13:20
10134R,17,TUE,23:00,12:20
10134R,18,THU,23:00,12:20
10137R,19,TUE,9:30,10:50
10137R,20,THU,9:30,10:50
10139R,21,MON,12:00,13:20
10139R,22,WED,12:00,13:20
10145R,23,TUE,9:30,10:50
10145R,24,THU,9:30,10:50
10146R,25,TUE,23:00,12:20
10146R,26,THU,23:00,12:20
10147R,27,TUE,12:30,13:50
10147R,28,THU,12:30,13:50
10149R,29,MON,14:00,15:20
10149R,30,WED,14:00,15:20
10153D,31,TUE,10:00,11:50
10153D,32,THU,10:00,11:50
10155D,33,MON,10:00,11:50
10155D,34,WED,10:00,11:50
10157R,35,TUE,15:30,16:50
10157R,36,THU,15:30,16:50
10158R,37,TUE,14:00,15:20
10158R,38,THU,14:00,15:20
10162R,39,TUE,14:00,15:20
10162R,40,THU,14:00,15:20
10163D,41,MON,12:00,13:20
10163D,42,WED,12:00,13:20
10164D,43,MON,12:00,13:20
10164D,44,WED,12:00,13:20
10166D,45,TUE,12:30,13:50
10166D,46,THU,12:30,13:50
10167D,47,TUE,12:30,13:50
10167D,48,THU,12:30,13:50
10168D,49,TUE,12:30,13:50
10168D,50,THU,12:30,13:50
10169R,51,MON,15:30,16:50
10169R,52,WED,15:30,16:50
10171D,53,TUE,12:00,13:50
10171D,54,THU,12:00,13:50
10173D,55,MON,10:00,11:50
10173D,56,WED,10:00,11:50
10174D,57,MON,12:00,13:50
10174D,58,WED,12:00,13:50
10176D,59,MON,14:00,15:50
10176D,60,WED,14:00,15:50
10177D,61,TUE,16:00,17:50
10177D,62,THU,16:00,17:50
10182D,63,FRI,8:00,9:50
10188D,64,MON,10:00,11:20
10188D,65,WED,10:00,11:20
10189D,66,TUE,12:30,13:50
10189D,67,THU,12:30,13:50
10190D,68,TUE,17:00,18:20
10190D,69,THU,17:00,18:20
10191D,70,MON,16:00,17:20
10191D,71,WED,16:00,17:20
10192D,72,TUE,16:00,17:20
10192D,73,THU,16:00,17:20
10193D,74,TUE,16:00,17:20
10193D,75,THU,16:00,17:20
10310R,76,TUE,9:30,10:50
10310R,77,THU,9:30,10:50
10311R,78,WED,12:00,12:50
10312R,79,WED,10:00,10:50
10313R,80,WED,9:00,9:50
10314R,81,WED,10:00,10:50
10315R,82,FRI,10:00,10:50
10316R,83,FRI,9:00,9:50
10320R,84,MON,14:00,15:20
10320R,85,WED,14:00,15:20
10321R,86,FRI,10:00,10:50
10322R,87,WED,11:00,11:50
10323R,88,FRI,11:00,11:50
10324R,89,MON,9:00,9:50
10325R,90,THU,10:00,10:50
10326R,91,MON,10:00,10:50
10327R,92,THU,11:00,11:50
10328R,93,WED,9:00,9:50
10338R,94,TUE,23:00,12:20
10338R,95,THU,23:00,12:20
10341R,96,WED,10:00,10:50
10342R,97,WED,11:00,11:50
10345R,98,TUE,12:30,13:50
10345R,99,THU,12:30,13:50
10348R,100,TUE,11:00,11:50
10349R,101,THU,11:00,11:50
10350R,102,TUE,10:00,10:50
10351R,103,THU,10:00,10:50
10353R,104,TUE,9:30,10:50
10353R,105,THU,9:30,10:50
10360R,106,MON,8:30,9:50
10360R,107,WED,8:30,9:50
10361R,108,FRI,11:00,11:50
10362R,109,FRI,12:00,12:50
10363R,110,TUE,12:30,13:50
10363R,111,THU,12:30,13:50
10364R,112,FRI,10:00,10:50
10365R,113,THU,11:00,11:50
10381R,114,MON,12:00,13:50
10381R,115,WED,12:00,13:50
10382R,116,THU,9:00,9:50
10383R,117,FRI,10:00,10:50
10384R,118,FRI,11:00,11:50
10385R,119,THU,14:00,14:50
10386R,120,TUE,12:00,12:50
10387R,121,TUE,11:00,11:50
10390R,122,MON,15:30,16:50
10390R,123,WED,15:30,16:50
10391R,124,WED,10:00,10:50
10392R,125,MON,12:00,12:50
10408R,126,MON,14:00,15:20
10408R,127,WED,14:00,15:20
10409R,128,THU,9:00,9:50
10410R,129,THU,10:00,10:50
10411R,130,MON,12:00,12:50
10412R,131,WED,12:00,12:50
10413R,132,WED,13:00,13:50
10414R,133,MON,13:00,13:50
10420R,134,MON,14:00,16:50
10346R,135,MON,10:00,10:50
10346R,136,WED,10:00,10:50
10346R,137,FRI,10:00,10:50
10424R,138,TUE,23:00,12:20
10424R,139,THU,23:00,12:20
10426R,140,MON,14:00,15:50
10433D,141,TUE,16:00,17:50
10443D,142,,,
10441D,143,,,
10442D,144,TUE,9:00,11:50
10450D,145,TUE,14:00,16:50
10462D,146,MON,14:00,16:50
10464D,147,FRI,14:00,16:50
10478D,148,,,
10479D,149,THU,17:00,18:20
10489D,150,TUE,17:00,19:50
10491D,151,THU,17:00,19:50
10493D,152,,,
10495D,153,,,
10496D,154,,,
10497D,155,,,
10498D,156,,,
10499D,157,,,
10600D,158,TUE,12:30,13:50
10600D,159,THU,12:30,13:50
10702R,160,MON,15:00,16:20
10702R,161,WED,15:00,16:20
10601R,162,TUE,17:00,18:20
10601R,163,THU,17:00,18:20
10602R,164,WED,14:00,14:50
10603R,165,WED,9:00,9:50
10604R,166,WED,10:00,10:50
10605R,167,WED,11:00,11:50
10610R,168,TUE,8:00,9:20
10610R,169,THU,8:00,9:20
10611R,170,MON,8:00,8:50
10612R,171,MON,9:00,9:50
10613R,172,MON,11:00,11:50
10614R,173,MON,10:00,10:50
10615R,174,TUE,14:00,15:20
10615R,175,THU,14:00,15:20
10616R,176,TUE,8:00,8:50
10617R,177,TUE,9:00,9:50
10718R,178,TUE,10:00,10:50
10719R,179,TUE,11:00,11:50
10902R,180,TUE,8:00,9:20
10902R,181,THU,8:00,9:20
10618R,182,WED,14:00,15:20
10618R,183,FRI,14:00,15:20
10769R,184,TUE,8:30,9:50
10769R,185,THU,8:30,9:50
10660R,186,MON,9:30,10:50
10660R,187,WED,9:30,10:50
10661R,188,MON,8:00,8:50
10662R,189,MON,11:00,11:50
10663R,190,WED,8:00,8:50
10664R,191,WED,11:00,11:50
10665R,192,TUE,9:30,10:50
10665R,193,THU,9:30,10:50
10666R,194,TUE,8:00,8:50
10667R,195,TUE,13:00,13:50
10668R,196,THU,8:00,8:50
10669R,197,THU,13:00,13:50
10777R,198,MON,9:30,10:50
10777R,199,WED,9:30,10:50
10715D,200,TUE,14:00,15:20
10715D,201,THU,14:00,15:20
10680R,202,TUE,15:30,16:50
10680R,203,THU,15:30,16:50
10681R,204,TUE,10:00,10:50
10682R,205,TUE,9:00,9:50
10683R,206,THU,10:00,10:50
10684R,207,THU,9:00,9:50
10624R,208,TUE,15:30,16:50
10624R,209,THU,15:30,16:50
10628D,210,TUE,14:00,15:20
10628D,211,THU,14:00,15:20
10687D,212,MON,14:00,15:20
10687D,213,WED,14:00,15:20
10744R,214,TUE,9:30,10:50
10744R,215,THU,9:30,10:50
10632R,216,TUE,12:30,13:50
10632R,217,THU,12:30,13:50
10833R,218,TUE,14:00,16:50
10634R,219,TUE,14:00,16:50
10635R,220,THU,14:00,16:50
10640D,221,,,
10641D,222,,,
10901R,223,THU,14:00,16:50
10672D,224,TUE,14:00,16:50
10645R,225,MON,14:00,16:50
10651D,226,,,
10653D,227,,,
10903R,228,THU,9:30,10:50
10750D,229,,,
10700D,230,,,
59975D,231,,,
59976D,232,,,
41504D,233,MON,10:00,10:50
41504D,234,TUE,10:00,10:50
41504D,235,WED,10:00,10:50
41504D,236,THU,10:00,10:50
41506D,237,MON,14:00,14:50
41506D,238,TUE,14:00,14:50
41506D,239,WED,14:00,14:50
41506D,240,THU,14:00,14:50
41514R,241,MON,11:00,11:50
41514R,242,TUE,11:00,11:50
41514R,243,WED,11:00,11:50
41514R,244,THU,11:00,11:50
41520R,245,MON,13:00,13:50
41520R,246,TUE,13:00,13:50
41520R,247,WED,13:00,13:50
41520R,248,THU,13:00,13:50
41536R,249,MON,14:00,14:50
41536R,250,TUE,14:00,14:50
41536R,251,WED,14:00,14:50
41536R,252,THU,14:00,14:50
11800R,253,TUE,9:30,10:50
11800R,254,THU,9:30,10:50
11801R,255,FRI,9:00,9:50
11802R,256,FRI,10:00,10:50
11803R,257,FRI,11:00,11:50
11804R,258,FRI,12:00,12:50
11814R,259,FRI,13:00,13:50
11815R,260,FRI,14:00,14:50
11805R,261,TUE,23:00,12:20
11805R,262,THU,23:00,12:20
11806R,263,FRI,9:00,9:50
11807R,264,FRI,10:00,10:50
11808R,265,FRI,10:00,10:50
11809R,266,FRI,9:00,9:50
11810R,267,FRI,9:00,9:50
11811R,268,FRI,10:00,10:50
11838R,269,TUE,12:30,13:50
11838R,270,THU,12:30,13:50
11839R,271,FRI,9:00,9:50
11840R,272,FRI,10:00,10:50
11868R,273,TUE,23:00,12:20
11868R,274,THU,23:00,12:20
11869R,275,FRI,9:00,9:50
11870R,276,FRI,10:00,10:50
11923R,277,TUE,14:00,15:20
11923R,278,THU,14:00,15:20
11938R,279,TUE,15:30,16:50
11938R,280,THU,15:30,16:50
11958R,281,TUE,12:30,13:50
11958R,282,THU,12:30,13:50
11967R,283,TUE,9:30,10:50
11967R,284,THU,9:30,10:50
11972R,285,TUE,14:00,15:20
11972R,286,THU,14:00,15:20
11988D,287,,,
11991D,288,FRI,22:00,12:50
12035D,289,FRI,22:00,12:50
12041D,290,,,
12045D,291,WED,14:00,16:50
12047D,292,,,
12048D,293,,,
12055D,294,TUE,21:30,12:20
12057D,295,TUE,14:30,17:20
12101D,296,,,
12105D,297,MON,9:30,10:50
12180D,298,,,
12190D,299,,,
12191D,300,,,
12192D,301,,,
12193D,302,,,
12194D,303,,,
50800R,304,TUE,12:00,13:50
50800R,305,THU,12:00,13:50
50802R,306,TUE,10:00,11:50
50803R,307,WED,10:00,11:50
50804R,308,THU,10:00,11:50
50805R,309,WED,12:00,13:50
50806R,310,TUE,14:00,15:50
50807R,311,WED,14:00,15:50
50808R,312,THU,14:00,15:50
50809R,313,THU,16:00,17:50
50801R,314,TUE,17:00,18:20
50810R,315,MON,14:00,15:50
50810R,316,WED,14:00,15:50
50812R,317,TUE,10:00,11:50
50813R,318,WED,10:00,11:50
50814R,319,THU,10:00,11:50
50815R,320,TUE,12:00,13:50
50816R,321,WED,12:00,13:50
50817R,322,THU,12:00,13:50
50818R,323,TUE,14:00,15:50
50819R,324,THU,14:00,15:50
50811R,325,,,
50820D,326,,,
50830R,327,TUE,14:00,15:50
50830R,328,THU,14:00,15:50
50832R,329,THU,10:00,11:50
50833R,330,THU,12:00,13:50
50834R,331,FRI,10:00,11:50
50835R,332,FRI,12:00,13:50
50836R,333,THU,16:00,17:50
50837R,334,FRI,14:00,15:50
50849R,335,MON,14:00,15:20
50849R,336,WED,14:00,15:20
50849R,337,FRI,14:00,15:20
50850D,338,,,
13102R,339,WED,8:30,9:50
13102R,340,FRI,8:30,9:50
13103R,341,WED,10:00,11:50
13105R,342,FRI,10:00,11:50
13117R,343,WED,13:00,14:50
13000R,344,TUE,9:30,10:50
