DEP_ID,CRS_NUM,SCT_ID,SCT_TYPE,SCT_REG,SCT_SEATS,SCT_BUILD,SCT_ROOM,SCT_TITLE,SCT_UNITS
ALI,225,10104R,Lecture,8,12,SOS,,,
ALI,234,10106R,Lecture,5,10,SOS,,,
ALI,234,10107R,Lecture,4,10,DMC,104,,
ALI,235,10111R,Lecture,1,10,WPH,104,,
ALI,235,10113R,Lecture,9,10,DMC,104,,
ALI,235,10114R,Lecture,4,10,DMC,104,,
ALI,235,10116R,Lecture,3,10,DMC,107,,
ALI,242,10118R,Lecture,2,12,SOS,,,
ALI,244,10122R,Lecture,6,10,DMC,108,,
ALI,244,10126R,Lecture,1,10,DMC,104,,
ALI,244,10127R,Lecture,1,10,DMC,104,,
ALI,245,10131R,Lecture,10,10,DMC,104,,
ALI,245,10133R,Lecture,8,10,DMC,104,,
ALI,245,10134R,Lecture,5,10,THH,111,,
ALI,245,10137R,Lecture,4,10,THH,117,,
ALI,246,10142D,Lecture,1,8,DMC,153,,
ALI,252,10140R,Lecture,2,10,KAP,141,,
ALI,252,10144R,Lecture,4,10,DMC,157,,
ALI,254,10147R,Lecture,6,12,DMC,104,,
ALI,255,10150R,Lecture,5,12,SOS,,,
ALI,256,10152D,Lecture,2,8,WPH,,,
ALI,256,10153D,Lecture,0,8,THH,107,,
ALI,270,10154D,Lecture,2,8,SOS,,,
ALI,270,10155D,Lecture,2,8,THH,111,,
ALI,270,10157D,Lecture,0,8,DMC,109,,
ALI,271,10159D,Lecture,1,12,OFFICE,,,
ALI,274,10164D,Lecture,0,8,DMC,104,,
ALI,274,10165D,Lecture,3,8,WPH,204,,
ALI,274,10166D,Lecture,3,8,WPH,104,,
ALI,275,10171D,Lecture,5,8,WPH,204,,
ALI,275,10172D,Lecture,8,8,DMC,105,,
ALI,275,10173D,Lecture,7,8,THH,213,,
AMST,101,10310R,Lecture,118,143,MHP,101,,
AMST,101,10311R,Discussion,17,25,DMC,252,,
AMST,101,10312R,Discussion,20,24,DMC,252,,
AMST,101,10313R,Discussion,23,25,VPD,110,,
AMST,101,10314R,Discussion,12,25,KAP,147,,
AMST,101,10315R,Discussion,24,25,DMC,161,,
AMST,101,10316R,Discussion,22,25,VHE,206,,
AMST,135,10320R,Lecture,92,92,SGM,101,,
AMST,135,10323R,Discussion,20,25,KAP,140,,
AMST,135,10324R,Discussion,23,25,GFS,229,,
AMST,135,10325R,Discussion,24,25,GFS,223,,
AMST,135,10327R,Discussion,25,25,DMC,206,,
AMST,150,10338R,Lecture,142,143,THH,301,,
AMST,150,10339R,Discussion,25,25,DMC,106,,
AMST,150,10340R,Discussion,25,25,VHE,214,,
AMST,150,10341R,Discussion,25,25,GFS,220,,
AMST,150,10342R,Discussion,24,25,GFS,108,,
AMST,150,10343R,Discussion,19,25,GFS,109,,
AMST,150,10344R,Discussion,24,25,SGM,226,,
AMST,200,10347R,Lecture,44,45,KAP,144,,
AMST,200,10348R,Discussion,24,25,SGM,226,,
AMST,200,10349R,Discussion,20,25,KAP,167,,
AMST,205,10360R,Lecture,48,48,ZHS,252,,
AMST,205,10364R,Discussion,24,24,VHE,206,,
AMST,205,10365R,Discussion,24,25,GFS,220,,
AMST,230,10371R,Lecture,49,49,VPD,116,,
AMST,230,10303R,Discussion,24,25,KAP,140,,
AMST,230,10304R,Discussion,25,25,KAP,148,,
AMST,250,10372R,Lecture,90,92,THH,202,,
AMST,250,10373R,Discussion,23,25,GFS,222,,
AMST,250,10375R,Discussion,17,25,KAP,167,,
AMST,250,10376R,Discussion,25,25,VHE,206,,
AMST,250,10380R,Discussion,25,25,DMC,161,,
AMST,274,10390R,Lecture,49,49,GFS,101,,
AMST,274,10395R,Discussion,24,25,DMC,260,,
AMST,274,10396R,Discussion,25,25,THH,121,,
AMST,301,10408R,Lecture,97,143,THH,301,,
AMST,301,10409R,Discussion,23,25,GFS,104,,
AMST,301,10410R,Discussion,5,25,ZHS,360,,
AMST,301,10411R,Discussion,25,25,THH,110,,
AMST,301,10412R,Discussion,16,25,THH,121,,
AMST,301,10413R,Discussion,10,25,ZHS,360,,
AMST,301,10415R,Discussion,18,25,GFS,108,,
AMST,312,10831R,Lecture,20,20,KAP,159,,
AMST,330,10416R,Lecture,13,29,ZHS,163,,
AMST,331,10418R,Lecture,29,29,KAP,147,,
AMST,337,10417R,Lecture,16,29,DMC,154,,
AMST,348,10317R,Lecture,15,30,SOS,,,
AMST,350,10424R,Lecture,8,19,KAP,166,,
AMST,365,10427R,Lecture,0,12,KAP,445,,
AMST,365,10426R,Lecture,12,12,THH,109,,
AMST,373,10428R,Lecture,10,29,SGM,226,,
AMST,379,10446R,Lecture,2,30,DMC,252,,
AMST,392,10433D,Lecture,7,10,KAP,150,,
AMST,428,52084R,Lecture,19,19,VPD,107,,
AMST,442,32745R,Lecture,7,19,THH,115,,
AMST,445,10744D,Lecture,3,19,KAP,113,,
AMST,449,10438R,Lecture,8,19,WPH,,,
AMST,452,10439D,Lecture,29,30,WPH,,,
AMST,458,20673R,Lecture,9,19,ANN,210,,
AMST,464,21380R,Lecture,11,18,ASC,230,,
AMST,490,10441D,Lecture,0,15,OFFICE,,,2
AMST,490,10442D,Lecture,0,12,OFFICE,,,1
AMST,493,10443D,Lecture,6,12,THH,111,,
AMST,498,10444R,Lecture,5,12,TBD,,,
AMST,510,10452R,Lecture,6,12,KAP,150,,
AMST,520,10455R,Lecture,12,12,KAP,445,,
AMST,553,10460R,Lecture,11,12,SOS,,,
AMST,562,10672R,Lecture,11,15,DMC,158,,
AMST,590,10478D,Lecture,0,10,OFFICE,,,
AMST,610,10484R,Lecture,9,12,KAP,150,,
AMST,701,10492D,Lecture,4,12,THH,107,,
AMST,790,10493D,Lecture,0,5,OFFICE,,,
AMST,794A,10495D,Lecture,0,10,OFFICE,,,
AMST,794B,10496D,Lecture,1,10,OFFICE,,,
AMST,794C,10497D,Lecture,0,10,OFFICE,,,
AMST,794D,10498D,Lecture,5,10,OFFICE,,,
AMST,794Z,10499D,Lecture,5,20,OFFICE,,,
ANTH,105,10701R,Lecture-Discussion,25,25,KAP,158,,
ANTH,200,38511R,Lecture,96,96,GFS,116,,
ANTH,200,38515R,Lab,16,16,PED,,,
ANTH,200,38516R,Lab,16,16,PED,,,
ANTH,200,38517R,Lab,16,16,PED,,,
ANTH,200,38518R,Lab,16,16,PED,,,
