DEP_ID,CRS_NUM,SCT_ID,SCT_TYPE,SCT_REG,SCT_SEATS,SCT_BUILD,SCT_ROOM,SCT_TITLE,SCT_UNITS,SCT_SEMESTER
ALI,234,10106R,Lecture,11,12,THH,117,,,20241
ALI,234,10107R,Lecture,11,12,THH,113,,,20241
ALI,235,10111R,Lecture,4,10,WPH,104,,,20241
ALI,235,10113R,Lecture,7,10,DMC,104,,,20241
ALI,235,10114R,Lecture,9,10,DMC,104,,,20241
ALI,235,10116R,Lecture,10,10,SOS,B43,,,20241
ALI,242,10119R,Lecture,6,10,DMC,107,,,20241
ALI,244,10122R,Lecture,8,10,SOS,B45,,,20241
ALI,244,10123R,Lecture,9,10,SOS,B38,,,20241
ALI,244,10127R,Lecture,6,10,THH,111,,,20241
ALI,245,10131R,Lecture,8,12,THH,111,,,20241
ALI,245,10133R,Lecture,9,12,DMC,104,,,20241
ALI,245,10134R,Lecture,12,12,DMC,153,,,20241
ALI,245,10137R,Lecture,14,14,THH,117,,,20241
ALI,252,10144R,Lecture,12,14,LVL,3B,,,20241
ALI,254,10147R,Lecture,5,12,THH,109,,,20241
ALI,255,10150R,Lecture,12,12,SOS,B43,,,20241
ALI,256,10152D,Lecture,7,8,SOS,B43,,,20241
ALI,256,10153D,Lecture,6,8,THH,107,,,20241
ALI,270,10155D,Lecture,5,8,THH,109,,,20241
ALI,270,10157D,Lecture,6,8,DMC,153,,,20241
ALI,271,10159D,Lecture,3,3,OFFICE,,,,20241
ALI,271,10160D,Lecture,2,2,OFFICE,,,,20241
ALI,271,10161D,Lecture,3,3,OFFICE,,,,20241
ALI,271,10162D,Lecture,2,2,OFFICE,,,,20241
ALI,271,10163D,Lecture,2,2,THH,115,,,20241
ALI,274,10164D,Lecture,5,8,SOS,B51,,,20241
ALI,274,10165D,Lecture,8,8,WPH,204,,,20241
ALI,274,10166D,Lecture,8,8,WPH,104,,,20241
ALI,275,10170D,Lecture,10,10,DMC,153,,,20241
ALI,275,10172D,Lecture,6,8,DMC,153,,,20241
ALI,275,10173D,Lecture,6,8,THH,213,,,20241
AMST,101,10310D,Lecture,142,144,MHP,101,,,20241
AMST,101,10311R,Discussion,26,25,DMC,252,,,20241
AMST,101,10312R,Discussion,21,24,DMC,252,,,20241
AMST,101,10313R,Discussion,25,25,SOS,B47,,,20241
AMST,101,10314R,Discussion,23,25,KAP,147,,,20241
AMST,101,10315R,Discussion,23,25,GFS,105,,,20241
AMST,101,10316R,Discussion,24,25,VHE,206,,,20241
AMST,135,10320D,Lecture,97,98,SGM,101,,,20241
AMST,135,10323D,Discussion,24,26,KAP,140,,,20241
AMST,135,10324D,Discussion,23,24,GFS,229,,,20241
AMST,135,10325D,Discussion,24,25,GFS,221,,,20241
AMST,135,10327D,Discussion,26,26,DMC,206,,,20241
AMST,140,10329D,Lecture-Discussion,30,31,GFS,222,,,20241
AMST,150,10338D,Lecture,92,150,SAL,101,,,20241
AMST,150,10339R,Discussion,21,25,DMC,106,,,20241
AMST,150,10340R,Discussion,13,25,VHE,214,,,20241
AMST,150,10341R,Discussion,22,25,GFS,220,,,20241
AMST,150,10342R,Discussion,20,25,GFS,108,,,20241
AMST,150,10343R,Discussion,4,25,GFS,221,,,20241
AMST,150,10344R,Discussion,12,25,SGM,226,,,20241
AMST,200,10347D,Lecture,42,44,KAP,144,,,20241
AMST,200,10348R,Discussion,23,25,SGM,226,,,20241
AMST,200,10349R,Discussion,19,25,KAP,167,,,20241
AMST,204,10359D,Lecture,30,30,GFS,223,,,20241
AMST,205,10360R,Lecture,48,49,ZHS,252,,,20241
AMST,205,10364R,Discussion,24,24,VHE,206,,,20241
AMST,205,10365R,Discussion,24,25,GFS,220,,,20241
AMST,206,10361D,Lecture-Discussion,30,30,LVL,13,,,20241
AMST,211,10300D,Lecture,45,50,DMC,150,,,20241
AMST,211,10301R,Discussion,24,25,DMC,206,,,20241
AMST,211,10302R,Discussion,21,25,DMC,203,,,20241
AMST,230,10303R,Discussion,15,25,KAP,140,,,20241
AMST,230,10304R,Discussion,24,25,KAP,148,,,20241
AMST,230,10371D,Lecture,39,42,VPD,116,,,20241
AMST,250,10372D,Lecture,114,120,THH,202,,,20241
AMST,250,10373R,Discussion,24,25,GFS,222,,,20241
