CRS_ID,SCT_ID,SCT_TYPE,SCT_REG,SCT_SEATS,SCT_BUILD,SCT_ROOM,SCT_TITLE,SCT_UNITS,SCT_SEMESTER
ALI-234,10106R,Lecture,11,14,SOS,B41,,,20231
ALI-234,10107R,Lecture,13,14,DMC,208,,,20231
ALI-235,10111R,Lecture,9,10,WPH,204,,,20231
ALI-235,10113D,Lecture,8,10,DCC,B23,,,20231
ALI-235,10114R,Lecture,9,10,DCC,B23,,,20231
ALI-235,10116R,Lecture,9,10,DCC,B23,,,20231
ALI-242,10119R,Lecture,10,14,SOS,B38,,,20231
ALI-244,10122R,Lecture,5,10,DMC,107,,,20231
ALI-244,10123R,Lecture,11,11,DCC,B23,,,20231
ALI-244,10127R,Lecture,10,10,LVL,3Y,,,20231
ALI-245,10131R,Lecture,6,10,THH,117,,,20231
ALI-245,10132R,Lecture,12,12,DCC,B25,,,20231
ALI-245,10133R,Lecture,9,10,DMC,153,,,20231
ALI-245,10134R,Lecture,8,10,DMC,153,,,20231
ALI-245,10137R,Lecture,10,10,LVL,3B,,,20231
ALI-252,10143R,Lecture,9,12,HED,103,,,20231
ALI-252,10144R,Lecture,9,12,DCC,B24,,,20231
ALI-254,10145R,Lecture,9,12,DMC,104,,,20231
ALI-254,10146R,Lecture,9,12,THH,117,,,20231
ALI-255,10150R,Lecture,6,10,THH,217,,,20231
ALI-255,10151R,Lecture,11,12,THH,209,,,20231
ALI-256,10152D,Lecture,7,8,DCC,B24,,,20231
ALI-256,10153D,Lecture,7,8,WPH,204,,,20231
ALI-270,10154D,Lecture,5,8,THH,219,,,20231
ALI-270,10155D,Lecture,7,8,THH,111,,,20231
ALI-270,10157D,Lecture,6,8,THH,109,,,20231
ALI-271,10159D,Lecture,3,3,OFFICE,,,,20231
ALI-271,10160D,Lecture,3,3,OFFICE,,,,20231
ALI-271,10162D,Lecture,3,3,OFFICE,,,,20231
ALI-274,10165D,Lecture,3,8,SOS,B38,,,20231
ALI-274,10166D,Lecture,8,8,DMC,103,,,20231
ALI-275,10170D,Lecture,11,11,THH,111,,,20231
ALI-275,10171D,Lecture,7,8,WPH,204,,,20231
ALI-275,10172D,Lecture,7,8,THH,117,,,20231
ALI-275,10173D,Lecture,7,8,WPH,200,,,20231
AMST-101,10310D,Lecture,148,148,MHP,101,,,20231
AMST-101,10311R,Discussion,24,25,GFS,228,,,20231
AMST-101,10312R,Discussion,25,25,KAP,166,,,20231
AMST-101,10313R,Discussion,25,25,SGM,226,,,20231
AMST-101,10314R,Discussion,24,25,KAP,163,,,20231
AMST-101,10315R,Discussion,25,25,GFS,107,,,20231
AMST-101,10316R,Discussion,25,25,DMC,205,,,20231
AMST-135,10320D,Lecture,139,140,SGM,101,,,20231
AMST-135,10321R,Discussion,19,25,WPH,203,,,20231
AMST-135,10322R,Discussion,21,25,WPH,205,,,20231
AMST-135,10323R,Discussion,25,25,SOS,B47,,,20231
AMST-135,10324R,Discussion,25,25,GFS,220,,,20231
