INSTR_ID,SCT_ID
1,29908R
2,30201R
3,29966R
4,30207R
5,29905R
6,29905R
7,29989R
8,29989R
9,30108R
10,30295R
11,30381R
12,29957R
13,30009R
14,30095R
15,30098R
16,30101R
17,29967R
18,29993R
19,30050R
20,30003R
21,30160R
22,30234R
23,30304R
24,31851R
25,31852R
26,31908R
27,31909R
28,29963R
29,30228R
30,29945D
31,29946D
32,29979R
33,30014R
34,30123R
35,31826R
36,30568D
37,30564R
38,30828R
39,30327R
40,29934D
41,30478R
42,30591R
43,30595D
44,39656D
45,39659D
46,29977R
47,30330R
48,32062R
49,30219R
50,50526D
51,39694R
52,39594R
53,39708R
54,32457R
55,32458D
56,30230D
57,30375R
58,30012R
59,30122R
60,30220D
61,30220D
62,30320R
63,30321D
64,30018D
65,39757R
66,29973D
67,30060D
68,30063D
69,30135R
70,29933R
71,30820R
72,30716D
73,30490R
74,30561D
75,30071R
76,29936D
77,32420R
78,30387D
79,30079R
80,30213D
81,30332R
82,30334D
83,30177D
84,30090R
85,29917R
86,30395D
87,30089R
88,30227R
89,30198D
90,30290R
91,30291R
92,30099D
93,29952R
94,29953R
95,29913D
96,29916R
97,30087R
98,30378R
99,30322R
100,30016D
101,30370R
102,30151R
103,30210D
104,30319R
105,30082D
106,30235D
107,30235D
108,30236D
109,30236D
110,30390R
111,30158R
112,30149D
113,30306R
114,30076R
115,30222R
116,30223D
117,30131D
118,30093R
119,30007R
120,30277R
121,30233R
122,30878D
123,30883R
124,30313R
125,30048R
126,30100R
127,30118D
128,30176R
129,30209R
130,30237R
131,30117R
132,30132R
133,30165R
