INSTR_ID,SCT_ID
1,10106R
2,10107R
3,10111R
4,10113R
2,10114R
2,10116R
5,10119R
4,10122R
3,10123R
3,10127R
6,10131R
6,10133R
6,10134R
7,10137R
5,10144R
4,10147R
7,10150R
8,10152D
8,10153D
9,10155D
10,10157D
10,10159D
11,10160D
5,10161D
9,10162D
10,10163D
9,10164D
11,10165D
11,10166D
7,10170D
1,10172D
1,10173D
12,10310D
13,10311R
13,10312R
14,10313R
14,10314R
15,10315R
15,10316R
16,10320D
16,10323D
16,10324D
16,10325D
16,10327D
17,10329D
18,10338D
19,10339R
20,10340R
21,10341R
21,10342R
19,10343R
20,10344R
16,10347D
22,10359D
23,10360R
24,10364R
24,10365R
22,10361D
25,10300D
26,10301R
26,10302R
27,10303R
27,10304R
28,10371D
29,10372D
30,10373R
30,10375R
31,10376R
32,10377R
32,10378R
31,10380R
33,10390D
34,10395R
34,10396R
12,10408D
12,10409D
12,10410D
12,10413D
12,10415D
35,10831D
23,10421D
36,10423D
37,10425R
37,10427R
38,10416D
39,10317R
40,10424D
41,10426D
42,10428D
43,10446R
25,10434D
44,10433D
45,32745D
46,10744D
45,10437D
17,10439D
47,10441D
22,10451R
48,10472R
47,10478D
42,10480D
49,10486D
36,10492D
47,10496D
47,10498D
47,10499D
50,10601D
51,38511R
52,38515R
53,38516R
53,38517R
52,38518R
53,38522R
52,38528R
54,10704D
54,10705R
54,10706R
54,10707R
54,10708R
55,10805D
56,10769D
57,10651R
58,10608D
59,10609R
59,10610R
58,10611R
58,10612D
60,10710D
60,10711R
60,10712R
60,10713R
60,10714R
51,38531R
57,10617D
57,10619R
57,10620R
57,10621R
57,10622D
61,60061R
55,10623R
62,10775R
57,10626R
57,10827R
57,10828R
57,10829R
57,10830R
54,10774D
50,10686D
35,10659D
63,10633R
63,10634R
63,10635R
64,10636R
64,10637R
65,10629R
66,10653D
55,10632D
67,38535R
68,10641R
69,10743D
70,10643D
70,10644D
71,10768D
72,34976D
73,37473D
62,10647R
70,10649D
70,10650D
74,10685R
70,10669R
70,10700D
75,33015D
76,11924R
77,38225R
61,59998D
61,59999D
78,41504D
79,41514R
78,41520R
79,41528R
78,41544R
80,11818R
81,11819R
81,11820R
82,11821R
82,11822R
83,11838R
84,11839R
84,11840R
85,11873R
86,11900R
87,11912R
88,11959R
89,11967R
90,11968R
91,11969R
91,11970R
90,11974R
86,11977R
92,11988D
76,11995D
93,12008D
94,00371R
95,12025D
92,12042D
96,12043D
96,12045D
92,12047D
92,12048D
94,00372R
97,12064D
98,12065D
88,12068D
99,12100D
99,12180D
99,12190D
99,12191D
99,12192D
99,12193D
99,12194D
100,50800R
101,50810R
102,50840D
102,50825R
102,50826R
103,50820D
102,50830R
104,50844R
102,50850R
102,50855D
105,13000R
106,13102R
106,13103R
106,13105R
107,13200R
108,13201R
108,13202R
109,13203R
109,13204R
110,13108D
110,13109D
111,13001R
112,13002R
113,13428R
112,13429R
113,13437R
112,13438R
113,13439R
114,13115R
115,13116R
115,13118R
116,13119R
116,13122R
116,13123R
115,13124R
117,13003R
118,13004R
119,13005R
120,13006R
118,13008R
119,13010R
120,13027R
107,13400R
121,13401R
121,13402R
121,13403R
122,13009R
123,13199R
124,13011R
124,13012R
125,13022R
125,13028R
126,13140R
127,13141R
128,13142R
129,13143R
130,13144R
126,13146R
131,13147R
128,13148R
132,13149R
133,13150R
134,13151R
135,13152R
130,13153R
136,13154R
133,13155R
135,13156R
131,13157R
137,13158R
138,13159R
129,13160R
132,13161R
139,13162R
140,13163R
141,13164R
142,13165R
143,13168R
144,13169R
137,13170R
134,13171R
139,13172R
140,13173R
141,13174R
143,13175R
138,13176R
127,13177R
144,13178R
136,13179R
145,13013D
146,13191R
110,13192D
146,13193R
107,13194R
147,13195R
125,13014R
148,13254R
148,13256R
148,13258R
110,13016D
122,13018R
149,13281R
150,13284R
149,13286R
150,13289R
151,12955R
152,12956R
152,12974R
147,13522R
147,13523R
147,13524R
153,13034R
154,13326R
154,13328R
114,13021R
114,13023R
114,13024R
155,13310R
156,13313R
156,13317R
157,13319R
158,13321R
157,13329R
158,13331R
159,33025R
160,13363R
161,13364R
162,13372R
163,13373R
164,12987R
